Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Login Page/usernameField""), username)",Firefox 144.0,,,24-10-2025 15:33:17,24-10-2025 15:33:18,"0,863s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,24-10-2025 15:33:18,24-10-2025 15:33:18,"0,269s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), password)",Firefox 144.0,,,24-10-2025 15:33:18,24-10-2025 15:33:19,"0,707s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,24-10-2025 15:33:19,24-10-2025 15:33:19,"0,255s",PASSED
"click(findTestObject(""Object Login Page/loginBtn""))",Firefox 144.0,,,24-10-2025 15:33:19,24-10-2025 15:33:19,"0,460s",PASSED
"if (testType == ""valid"")",Firefox 144.0,,,24-10-2025 15:33:19,24-10-2025 15:33:19,"0,003s",PASSED
"else if (testType == ""emptyUser"")",Firefox 144.0,,,24-10-2025 15:33:19,24-10-2025 15:33:19,"0,003s",PASSED
"else if (testType == ""emptyPass"")",Firefox 144.0,,,24-10-2025 15:33:19,24-10-2025 15:33:19,"0,010s",PASSED
else,Firefox 144.0,,,24-10-2025 15:33:19,24-10-2025 15:33:30,"10,382s",PASSED
closeBrowser(),Firefox 144.0,,,24-10-2025 15:33:30,24-10-2025 15:33:31,"1,679s",PASSED
,,,,,,,
Test Cases/saucedemo/TC01-login,Firefox 144.0,,,24-10-2025 15:33:32,24-10-2025 15:33:56,"24,316s",PASSED
"DATA BINDING - {""password"":""salah"",""expected"":""Epic sadface: Username and password do not match any user in this service"",""testType"":""wronginput"",""username"":""standard_user""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,24-10-2025 15:33:32,24-10-2025 15:33:38,"6,267s",PASSED
navigateToUrl(baseUrl),Firefox 144.0,,,24-10-2025 15:33:38,24-10-2025 15:33:40,"2,029s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/usernameField""), 1)",Firefox 144.0,,,24-10-2025 15:33:40,24-10-2025 15:33:41,"1,435s",PASSED
"setText(findTestObject(""Object Login Page/usernameField""), username)",Firefox 144.0,,,24-10-2025 15:33:41,24-10-2025 15:33:42,"0,716s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,24-10-2025 15:33:42,24-10-2025 15:33:42,"0,258s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), password)",Firefox 144.0,,,24-10-2025 15:33:42,24-10-2025 15:33:43,"0,639s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,24-10-2025 15:33:43,24-10-2025 15:33:43,"0,284s",PASSED
"click(findTestObject(""Object Login Page/loginBtn""))",Firefox 144.0,,,24-10-2025 15:33:43,24-10-2025 15:33:44,"0,458s",PASSED
"if (testType == ""valid"")",Firefox 144.0,,,24-10-2025 15:33:44,24-10-2025 15:33:44,"0,003s",PASSED
"else if (testType == ""emptyUser"")",Firefox 144.0,,,24-10-2025 15:33:44,24-10-2025 15:33:44,"0,001s",PASSED
"else if (testType == ""emptyPass"")",Firefox 144.0,,,24-10-2025 15:33:44,24-10-2025 15:33:44,"0,002s",PASSED
else,Firefox 144.0,,,24-10-2025 15:33:44,24-10-2025 15:33:54,"10,439s",PASSED
closeBrowser(),Firefox 144.0,,,24-10-2025 15:33:54,24-10-2025 15:33:56,"1,716s",PASSED
