Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login csv,Firefox 144.0,,,24-10-2025 15:14:06,24-10-2025 15:15:44,"1m - 37,241s",PASSED
,,,,,,,
Test Cases/saucedemo/TC01-login,Firefox 144.0,,,24-10-2025 15:14:08,24-10-2025 15:14:30,"21,904s",PASSED
"DATA BINDING - {""password"":""secret_sauce"",""expected"":"""",""testType"":""valid"",""username"":""standard_user""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,24-10-2025 15:14:09,24-10-2025 15:14:19,"10,213s",PASSED
navigateToUrl(baseUrl),Firefox 144.0,,,24-10-2025 15:14:19,24-10-2025 15:14:23,"3,540s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/usernameField""), 1)",Firefox 144.0,,,24-10-2025 15:14:23,24-10-2025 15:14:24,"1,218s",PASSED
"setText(findTestObject(""Object Login Page/usernameField""), username)",Firefox 144.0,,,24-10-2025 15:14:24,24-10-2025 15:14:25,"1,028s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,24-10-2025 15:14:25,24-10-2025 15:14:26,"0,301s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), password)",Firefox 144.0,,,24-10-2025 15:14:26,24-10-2025 15:14:26,"0,755s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,24-10-2025 15:14:26,24-10-2025 15:14:27,"0,307s",PASSED
"click(findTestObject(""Object Login Page/loginBtn""))",Firefox 144.0,,,24-10-2025 15:14:27,24-10-2025 15:14:27,"0,591s",PASSED
"if (testType == ""valid"")",Firefox 144.0,,,24-10-2025 15:14:27,24-10-2025 15:14:28,"0,371s",PASSED
closeBrowser(),Firefox 144.0,,,24-10-2025 15:14:28,24-10-2025 15:14:30,"2,161s",PASSED
,,,,,,,
Test Cases/saucedemo/TC01-login,Firefox 144.0,,,24-10-2025 15:14:30,24-10-2025 15:14:44,"14,369s",PASSED
"DATA BINDING - {""password"":"""",""expected"":""Epic sadface: Password is required"",""testType"":""emptyPass"",""username"":""standard_user""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,24-10-2025 15:14:30,24-10-2025 15:14:36,"6,080s",PASSED
navigateToUrl(baseUrl),Firefox 144.0,,,24-10-2025 15:14:36,24-10-2025 15:14:38,"2,051s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/usernameField""), 1)",Firefox 144.0,,,24-10-2025 15:14:38,24-10-2025 15:14:40,"1,376s",PASSED
"setText(findTestObject(""Object Login Page/usernameField""), username)",Firefox 144.0,,,24-10-2025 15:14:40,24-10-2025 15:14:40,"0,784s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,24-10-2025 15:14:40,24-10-2025 15:14:41,"0,283s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), password)",Firefox 144.0,,,24-10-2025 15:14:41,24-10-2025 15:14:41,"0,691s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,24-10-2025 15:14:41,24-10-2025 15:14:42,"0,280s",PASSED
"click(findTestObject(""Object Login Page/loginBtn""))",Firefox 144.0,,,24-10-2025 15:14:42,24-10-2025 15:14:42,"0,443s",PASSED
